,Movie,Year,Rated,Released,Runtime,Genre,Director,imdbRating,Actors,Plot,Country
71,Anand,1971,Not Rated,12 Mar 1971,122 min,"Drama, Musical",Hrishikesh Mukherjee,8.3,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal","The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",India
72,Silsila,1981,Not Rated,14 Aug 1981,182 min,"Drama, Family, Romance",Yash Chopra,7.3,"Amitabh Bachchan, Shashi Kapoor, Jaya Bachchan",,India
73,Zindagi Na Milegi Dobara,2011,Not Rated,15 Jul 2011,155 min,"Comedy, Drama",Zoya Akhtar,8.2,"Hrithik Roshan, Farhan Akhtar, Abhay Deol",Heres celebrating a film that taught us how to truly live! Heres to 8 Years of Zindagi Na Milegi Dobara!,India
74,Shaan,1980,Not Rated,12 Dec 1980,181 min,"Action, Adventure, Crime",Ramesh Sippy,7.1,"Sunil Dutt, Shashi Kapoor, Amitabh Bachchan",Two brothers go after the international mafia kingpin who murdered their cop brother. They are later joined by another man who wants revenge against the gangster.,India
75,Parinda,1989,Not Rated,03 Nov 1989,154 min,"Action, Crime, Drama",Vidhu Vinod Chopra,7.8,"Jackie Shroff, Anil Kapoor, Nana Patekar","A man's friend, a police officer, is assassinated by gangsters in broad daylight. He discovers that his elder brother works in the same gang and decides to avenge his friend's death by infiltrating the gang.",India
76,Jab We Met,2007,Not Rated,26 Oct 2007,138 min,"Comedy, Drama, Romance",Imtiaz Ali,7.9,"Shahid Kapoor, Kareena Kapoor, Tarun Arora",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,India
77,Shree 420,1955,N/A,06 Sep 1955,168 min,"Comedy, Crime, Drama",Raj Kapoor,8.0,"Nargis, Raj Kapoor, Nadira","When a young man from a small town decides to make it big in a city, he faces several challenges.",India
78,Om Shanti Om,2007,Not Rated,09 Nov 2007,162 min,"Action, Comedy, Drama",Farah Khan,6.7,"Shah Rukh Khan, Deepika Padukone, Arjun Rampal","In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.",India
79,Dil To Pagal Hai,1997,Not Rated,31 Oct 1997,180 min,"Comedy, Drama, Musical",Yash Chopra,7.0,"Shah Rukh Khan, Madhuri Dixit, Karisma Kapoor","A grand musical about three passionate and dreamy characters: Rahul, Pooja and Nisha. Will their dreams come true? Will they find their true love?",India
80,Awaara,1951,N/A,07 Apr 1956,193 min,"Drama, Musical, Romance",Raj Kapoor,7.9,"Raj Kapoor, Nargis, Prithviraj Kapoor","A poor young man named Raj joins a criminal gang to feed his mother. But when he falls in love with Rita, he decides to reform himself for her.",India
81,Andaz Apna Apna,1994,Not Rated,04 Nov 1994,160 min,"Action, Comedy, Romance",Rajkumar Santoshi,8.1,"Aamir Khan, Salman Khan, Raveena Tandon",Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,India
82,Dil Chahta Hai,2001,Not Rated,10 Aug 2001,183 min,"Comedy, Drama, Romance",Farhan Akhtar,8.1,"Aamir Khan, Saif Ali Khan, Akshaye Khanna","Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",India
83,Satya,1998,Not Rated,03 Jul 1998,170 min,"Action, Crime, Drama",Ram Gopal Varma,8.2,"J.D. Chakravarthi, Manoj Bajpayee, Urmila Matondkar",An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery.,India
84,Mr India,2020,N/A,N/A,16 min,"Documentary, Short, Drama",James Fink-Jensen,,Pratik Patel,"Pratik Patel leaves the comfort of an established career, sells his prized belongings and flies out of New Zealand to follow his heart and enter the Mr India beauty Pageant held in New Delhi, without his family's knowledge.",New Zealand
85,Bombay,1995,Not Rated,10 Mar 1995,130 min,"Drama, Romance",Mani Ratnam,8.1,"Arvind Swamy, Manisha Koirala, Nassar","A Hindu man and a Muslim woman fall in love in a small village and move to Mumbai, where they have two children. However, growing religious tensions and erupting riots threaten to tear the family apart.",India
86,Kaagaz Ke Phool,1959,Unrated,02 Jan 1959,148 min,Romance,Guru Dutt,8.0,"Waheeda Rehman, Guru Dutt, Kumari Naaz","Suresh Sinha, a famous director, discovers star potential in Shanti, a woman he stumbled into one rainy evening, and casts her as the lead in a film. In a twist of fate, Shanti becomes a superstar and Suresh faces a decline in his ca",India
87,3 Idiots,2009,PG-13,25 Dec 2009,170 min,"Comedy, Drama",Rajkumar Hirani,8.4,"Aamir Khan, Madhavan, Mona Singh","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",India
88,Jaane Bhi Do Yaaro,1983,Not Rated,12 Aug 1983,132 min,"Comedy, Crime, Drama",Kundan Shah,8.4,"Naseeruddin Shah, Ravi Baswani, Bhakti Barve","Two friends, attempting to start-up their own photo studio, come across shady dealings, corruption and murder, and must fight to bring the guilty to light.",India
89,Do Bigha Zamin,1953,N/A,24 Jul 1953,131 min,Drama,Bimal Roy,8.4,"Balraj Sahni, Nirupa Roy, Ratan Kumar","In the hope of earning enough money to pay off his debts and save his land, a poor farmer becomes a rickshaw puller in the Calcutta and faces many difficulties.",India
90,Amar Akbar Anthony,1977,Not Rated,27 May 1977,184 min,"Action, Comedy, Drama",Manmohan Desai,7.5,"Vinod Khanna, Rishi Kapoor, Amitabh Bachchan","Three brothers are separated and united after many years - one is brought up a Hindu, another a Muslim and the last (and most memorable) a Christian. Hilarity and adventure ensues.",India
91,Pakeezah,1972,N/A,04 Feb 1972,147 min,"Musical, Romance, Drama",Kamal Amrohi,7.3,"Ashok Kumar, Meena Kumari, Raaj Kumar","In Lucknow at the turn of the century, a dancer and courtesan believes that her pure soul and body will enable her to find true love and honor.",India
92,Lagaan,2001,PG,15 Jun 2001,224 min,"Drama, Musical, Sport",Ashutosh Gowariker,8.1,"Aamir Khan, Raghuvir Yadav, Gracy Singh",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"India, United Kingdom"
93,Deewaar,1975,Not Rated,01 May 1979,174 min,"Action, Crime, Drama",Yash Chopra,8.1,"Amitabh Bachchan, Shashi Kapoor, Nirupa Roy","Vijay struggles as a dockworker and eventually becomes a leading figure of the underworld, while his younger brother Ravi is an educated, upright policeman. This divide causes problems in their relationship.",India
94,Guide,1965,Not Rated,06 Feb 1965,120 min,"Drama, Musical, Romance",Vijay Anand,8.4,"Dev Anand, Waheeda Rehman, Leela Chitnis","When mistaken to be a sage by some villagers, an ex-tour guide reflects on his past and lost love to search for spiritual wisdom to guide the villagers.",India
95,Pyaasa,1957,Not Rated,19 Feb 1957,146 min,"Drama, Musical, Romance",Guru Dutt,8.5,"Guru Dutt, Waheeda Rehman, Mala Sinha",A talented but indigent poet Vijay struggles for love and recognition in this selfish world.,India
96,Dilwale Dulhania Le Jayenge,1995,Not Rated,20 Oct 1995,181 min,"Drama, Romance",Aditya Chopra,8.1,"Shah Rukh Khan, Kajol, Amrish Puri","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",India
97,Mother India,1957,Not Rated,25 Oct 1957,172 min,"Drama, Musical, Family",Mehboob Khan,8.0,"Nargis, Sunil Dutt, Rajendra Kumar","In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, always sticks to her own moral code.",India
98,Mughal-e-Azam,1960,Not Rated,05 Aug 1960,197 min,"Drama, Romance, War",K. Asif,8.2,"Prithviraj Kapoor, Madhubala, Dilip Kumar",A 16th century prince falls in love with a court dancer and battles with his emperor father.,India
99,Sholay,1975,Not Rated,15 Aug 1975,162 min,"Action, Adventure, Comedy",Ramesh Sippy,8.2,"Sanjeev Kumar, Dharmendra, Amitabh Bachchan","After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",India
